game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,home_win,home_completions_ewma,home_passing_yards_ewma,home_passing_tds_ewma,home_rushing_yards_ewma,home_sacks_suffered_ewma,home_rushing_tds_ewma,home_completion_pct_ewma,home_turnovers_offense_ewma,home_turnovers_defense_ewma,home_turnover_margin_ewma,home_def_tackles_for_loss_ewma,home_penalty_yards_ewma,home_fg_pct_ewma,home_pat_pct_ewma,away_completions_ewma,away_passing_yards_ewma,away_passing_tds_ewma,away_rushing_yards_ewma,away_sacks_suffered_ewma,away_rushing_tds_ewma,away_completion_pct_ewma,away_turnovers_offense_ewma,away_turnovers_defense_ewma,away_turnover_margin_ewma,away_def_tackles_for_loss_ewma,away_penalty_yards_ewma,away_fg_pct_ewma,away_pat_pct_ewma
2021_04_WAS_ATL,2021,REG,4,2021-10-03,WAS,34.0,ATL,30.0,0,26.055999999999997,250.144,2.368,90.864,1.912,0.144,0.6526952380952381,0.672,0.0,-0.672,4.088,49.56,1.0,1.0,20.48,244.424,2.184,107.264,1.0,0.784,0.6692226613965744,1.08,0.216,-0.8640000000000001,3.552,66.952,0.9289473684210525,0.7333333333333333
2021_04_HOU_BUF,2021,REG,4,2021-10-03,HOU,0.0,BUF,40.0,1,25.248,272.656,2.264,154.744,1.192,1.472,0.6522083836467137,0.904,2.224,1.3200000000000003,4.576,44.327999999999996,0.856,1.0,16.088,170.664,0.96,75.648,2.52,0.576,0.5992148081803254,2.144,1.576,-0.5680000000000002,2.8320000000000003,74.272,0.76,0.6
2021_04_DET_CHI,2021,REG,4,2021-10-03,DET,14.0,CHI,24.0,1,14.264,163.28,0.144,132.896,3.64,1.6320000000000001,0.5774235294117647,0.976,0.672,-0.304,4.064,52.6,1.0,1.0,26.832,280.11199999999997,1.736,98.928,2.872,0.696,0.6709541595925297,1.304,0.64,-0.6639999999999999,3.848,39.752,0.82,1.0
2021_04_CAR_DAL,2021,REG,4,2021-10-03,CAR,28.0,DAL,36.0,1,23.024,253.496,2.968,177.87199999999999,1.464,1.168,0.7274720681617234,0.6,2.0,1.4,4.384,51.70399999999999,0.8863157894736842,0.888,24.848000000000003,297.544,1.304,110.072,3.2239999999999998,1.8800000000000001,0.6756602093468966,1.16,0.504,-0.656,3.408,43.424,0.552,0.844
2021_04_IND_MIA,2021,REG,4,2021-10-03,IND,27.0,MIA,17.0,0,22.736,201.04000000000002,1.016,72.128,2.9760000000000004,0.696,0.6332195423623994,0.904,1.072,0.168,3.392,47.120000000000005,0.8947368421052632,1.0,22.728,231.144,1.3760000000000001,116.584,2.36,0.64,0.6533485064011381,0.504,1.264,0.7600000000000001,3.712,57.296,0.9400000000000001,1.0
2021_04_CLE_MIN,2021,REG,4,2021-10-03,CLE,14.0,MIN,7.0,0,26.36,272.048,1.984,99.55999999999999,1.832,0.216,0.65884,0.616,0.288,-0.328,3.752,53.76,0.92,0.9640000000000001,17.831999999999997,221.04799999999997,0.384,180.712,3.12,1.936,0.6212006702974445,0.72,0.6880000000000001,-0.031999999999999945,5.224,68.128,1.0,1.0
2021_04_NYG_NO,2021,REG,4,2021-10-03,NYG,27.0,NO,21.0,0,15.544,173.32,1.96,145.928,1.296,1.184,0.6671648351648352,0.6880000000000001,1.696,1.008,2.64,41.93599999999999,0.28421052631578947,1.0,24.880000000000003,318.168,1.16,93.632,1.488,1.0,0.672003861003861,0.856,0.544,-0.312,2.368,44.752,0.8666666666666667,1.0
2021_04_TEN_NYJ,2021,REG,4,2021-10-03,TEN,24.0,NYJ,27.0,1,20.016,243.16799999999998,1.232,68.328,3.472,0.4,0.5770103854809737,1.672,0.0,-1.672,5.68,65.16799999999999,0.8421052631578947,1.0,24.96,263.536,1.336,163.10399999999998,4.768,1.048,0.6340979591836735,1.512,0.616,-0.896,4.144,63.751999999999995,0.6552000000000001,0.892
2021_04_KC_PHI,2021,REG,4,2021-10-03,KC,42.0,PHI,30.0,0,26.36,317.42400000000004,1.928,115.672,2.184,0.76,0.659141391941392,0.48,0.4,-0.07999999999999999,3.1839999999999997,67.672,0.9052631578947369,1.0,25.368000000000002,295.784,3.8,149.336,1.312,0.76,0.7407565982404692,1.648,0.504,-1.1440000000000001,3.8400000000000003,46.24,1.0,1.0
2021_04_ARI_LA,2021,REG,4,2021-10-03,ARI,37.0,LA,20.0,0,23.936,303.688,2.696,97.168,0.6,0.36,0.6815386985286856,1.088,0.504,-0.5840000000000001,5.152,25.296,0.8666666666666667,1.0,25.032,303.064,2.096,152.448,2.064,1.8800000000000001,0.7553970588235295,0.744,1.336,0.5920000000000001,3.0,57.624,0.772,1.0
